('GP', '51.33590,8.58006', '5', '170'), ('GP', '44.48983,8.35045', '5', '171'), ('GP', '46.17977,2.78527', '5', '172')
('GP', '51.34263,8.57921', '5', '170'), ('GP', '44.48796,8.33344', '5', '171'), ('GP', '46.17778,2.78821', '5', '172')
('GP', '51.34180,8.57944', '5', '170'), ('GP', '44.48763,8.33369', '5', '171'), ('GP', '46.17771,2.78826', '5', '172')
('GP', '51.34145,8.57959', '5', '170'), ('GP', '44.48740,8.33581', '5', '171'), ('GP', '46.17765,2.78830', '5', '172')
('GP', '51.34104,8.57990', '5', '170'), ('GP', '44.48663,8.33624', '5', '171'), ('GP', '46.17762,2.78832', '5', '172')
('GP', '51.34070,8.58023', '5', '170'), ('GP', '44.48524,8.33633', '5', '171'), ('GP', '46.17754,2.78850', '5', '172')
('GP', '51.34015,8.58058', '5', '170'), ('GP', '44.48435,8.33729', '5', '171'), ('GP', '46.17744,2.78874', '5', '172')
('GP', '51.33985,8.58083', '5', '170'), ('GP', '44.48339,8.33731', '5', '171'), ('GP', '46.17742,2.78877', '5', '172')
('GP', '51.33959,8.58069', '5', '170'), ('GP', '44.48192,8.33601', '5', '171'), ('GP', '46.17739,2.78879', '5', '172')
('GP', '51.33917,8.58048', '5', '170'), ('GP', '44.48112,8.33566', '5', '171'), ('GP', '46.17725,2.78883', '5', '172')
('GP', '51.33827,8.58075', '5', '170'), ('GP', '44.47835,8.33278', '5', '171'), ('GP', '46.17724,2.78891', '5', '172')
('GP', '51.33790,8.58109', '5', '170'), ('GP', '44.47774,8.33296', '5', '171'), ('GP', '46.17724,2.78896', '5', '172')
('GP', '51.33752,8.58170', '5', '170'), ('GP', '44.47742,8.33281', '5', '171'), ('GP', '46.17722,2.78900', '5', '172')
('GP', '51.33726,8.58236', '5', '170'), ('GP', '44.47729,8.33360', '5', '171'), ('GP', '46.17709,2.78921', '5', '172')
('GP', '51.33714,8.58308', '5', '170'), ('GP', '44.47641,8.33418', '5', '171'), ('GP', '46.17682,2.78958', '5', '172')
('GP', '51.33710,8.58351', '5', '170'), ('GP', '44.47575,8.33392', '5', '171'), ('GP', '46.17660,2.78990', '5', '172')
('GP', '51.33681,8.58470', '5', '170'), ('GP', '44.47394,8.33425', '5', '171'), ('GP', '46.17658,2.78994', '5', '172')
('GP', '51.33670,8.58527', '5', '170'), ('GP', '44.47235,8.33422', '5', '171'), ('GP', '46.17658,2.78994', '5', '172')
('GP', '51.33684,8.58616', '5', '170'), ('GP', '44.47120,8.33485', '5', '171'), ('GP', '46.17652,2.78984', '5', '172')
('GP', '51.33680,8.58636', '5', '170'), ('GP', '44.47062,8.33583', '5', '171'), ('GP', '46.17647,2.78971', '5', '172')
('GP', '51.33670,8.58691', '5', '170'), ('GP', '44.46930,8.33596', '5', '171'), ('GP', '46.17643,2.78958', '5', '172')
('GP', '51.33657,8.58760', '5', '170'), ('GP', '44.46713,8.33550', '5', '171'), ('GP', '46.17639,2.78947', '5', '172')
('GP', '51.33646,8.58769', '5', '170'), ('GP', '44.46619,8.33601', '5', '171'), ('GP', '46.17635,2.78930', '5', '172')
('GP', '51.33632,8.58763', '5', '170'), ('GP', '44.46573,8.33691', '5', '171'), ('GP', '46.17634,2.78925', '5', '172')
('GP', '51.33599,8.58735', '5', '170'), ('GP', '44.46676,8.33689', '5', '171'), ('GP', '46.17634,2.78925', '5', '172')
('GP', '51.33574,8.58714', '5', '170'), ('GP', '44.46771,8.33764', '5', '171'), ('GP', '46.17635,2.78930', '5', '172')
('GP', '51.33523,8.58691', '5', '170'), ('GP', '44.46811,8.33880', '5', '171'), ('GP', '46.17639,2.78947', '5', '172')
('GP', '51.33489,8.58694', '5', '170'), ('GP', '44.46881,8.33987', '5', '171'), ('GP', '46.17643,2.78958', '5', '172')
('GP', '51.33413,8.58719', '5', '170'), ('GP', '44.46968,8.34040', '5', '171'), ('GP', '46.17647,2.78971', '5', '172')
('GP', '51.33378,8.58757', '5', '170'), ('GP', '44.47020,8.34235', '5', '171'), ('GP', '46.17652,2.78984', '5', '172')
('GP', '51.33335,8.58830', '5', '170'), ('GP', '44.47033,8.34313', '5', '171'), ('GP', '46.17658,2.78994', '5', '172')
('GP', '51.33298,8.58896', '5', '170'), ('GP', '44.47074,8.34356', '5', '171'), ('GP', '46.17658,2.78994', '5', '172')
('GP', '51.33275,8.58919', '5', '170'), ('GP', '44.47086,8.34427', '5', '171'), ('GP', '46.17655,2.78999', '5', '172')
('GP', '51.33246,8.58928', '5', '170'), ('GP', '44.47261,8.34554', '5', '171'), ('GP', '46.17650,2.79005', '5', '172')
('GP', '51.33216,8.58914', '5', '170'), ('GP', '44.47258,8.34669', '5', '171'), ('GP', '46.17644,2.79012', '5', '172')
('GP', '51.33180,8.58887', '5', '170'), ('GP', '44.47224,8.34697', '5', '171'), ('GP', '46.17634,2.79020', '5', '172')
('GP', '51.33142,8.58873', '5', '170'), ('GP', '44.47154,8.34712', '5', '171'), ('GP', '46.17622,2.79030', '5', '172')
('GP', '51.33125,8.58887', '5', '170'), ('GP', '44.47226,8.34800', '5', '171'), ('GP', '46.17605,2.79043', '5', '172')
('GP', '51.33118,8.58899', '5', '170'), ('GP', '44.47302,8.34892', '5', '171'), ('GP', '46.17605,2.79043', '5', '172')
('GP', '51.33116,8.58961', '5', '170'), ('GP', '44.47385,8.34864', '5', '171'), ('GP', '46.17603,2.79044', '5', '172')
('GP', '51.33159,8.59191', '5', '170'), ('GP', '44.47396,8.34934', '5', '171'), ('GP', '46.17583,2.79059', '5', '172')
('GP', '51.33181,8.59296', '5', '170'), ('GP', '44.47383,8.34993', '5', '171'), ('GP', '46.17568,2.79072', '5', '172')
('GP', '51.33235,8.59428', '5', '170'), ('GP', '44.47357,8.35023', '5', '171'), ('GP', '46.17556,2.79082', '5', '172')
('GP', '51.33225,8.59432', '5', '170'), ('GP', '44.47394,8.35060', '5', '171'), ('GP', '46.17550,2.79087', '5', '172')
('GP', '51.33217,8.59406', '5', '170'), ('GP', '44.47394,8.35141', '5', '171'), ('GP', '46.17550,2.79087', '5', '172')
('GP', '51.33159,8.59356', '5', '170'), ('GP', '44.47438,8.35180', '5', '171'), ('GP', '46.17567,2.79110', '5', '172')
('GP', '51.33124,8.59318', '5', '170'), ('GP', '44.47500,8.35199', '5', '171'), ('GP', '46.17575,2.79124', '5', '172')
('GP', '51.33081,8.59232', '5', '170'), ('GP', '44.47604,8.35197', '5', '171'), ('GP', '46.17579,2.79132', '5', '172')
('GP', '51.33046,8.59179', '5', '170'), ('GP', '44.47719,8.35266', '5', '171'), ('GP', '46.17583,2.79140', '5', '172')
('GP', '51.33037,8.59172', '5', '170'), ('GP', '44.47902,8.35388', '5', '171'), ('GP', '46.17586,2.79148', '5', '172')
('GP', '51.33027,8.59118', '5', '170'), ('GP', '44.48039,8.35356', '5', '171'), ('GP', '46.17590,2.79161', '5', '172')
('GP', '51.33010,8.59080', '5', '170'), ('GP', '44.48134,8.35251', '5', '171'), ('GP', '46.17593,2.79169', '5', '172')
('GP', '51.32969,8.59042', '5', '170'), ('GP', '44.48375,8.35246', '5', '171'), ('GP', '46.17593,2.79169', '5', '172')
('GP', '51.32917,8.59004', '5', '170'), ('GP', '44.48509,8.35182', '5', '171'), ('GP', '46.17594,2.79174', '5', '172')
('GP', '51.32899,8.58981', '5', '170'), ('GP', '44.48544,8.35206', '5', '171'), ('GP', '46.17598,2.79194', '5', '172')
('GP', '51.32883,8.58938', '5', '170'), ('GP', '44.48682,8.34914', '5', '171'), ('GP', '46.17603,2.79220', '5', '172')
('GP', '51.32864,8.58869', '5', '170'), ('GP', '44.48752,8.34906', '5', '171'), ('GP', '46.17603,2.79220', '5', '172')
('GP', '51.32852,8.58785', '5', '170'), ('GP', '44.48810,8.34958', '5', '171'), ('GP', '46.17605,2.79229', '5', '172')
('GP', '51.32849,8.58731', '5', '170'), ('GP', '44.48856,8.34991', '5', '171'), ('GP', '46.17613,2.79278', '5', '172')
('GP', '51.32860,8.58705', '5', '170'), ('GP', '44.48896,8.35058', '5', '171'), ('GP', '46.17613,2.79282', '5', '172')
('GP', '51.32874,8.58658', '5', '170'), ('GP', '44.48977,8.35042', '5', '171'), ('GP', '46.17617,2.79314', '5', '172')
